Passo,Estado,saida_iperf
0,0,Ocioso
1,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 37560 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/363)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1175 sec  12.7 MBytes  10.6 Mbits/sec"
2,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 51438 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/435)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0320 sec  62.7 MBytes  52.4 Mbits/sec"
3,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 60328 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/357)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1174 sec  12.7 MBytes  10.6 Mbits/sec"
4,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 59104 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/315)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0292 sec  62.7 MBytes  52.4 Mbits/sec"
5,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 44426 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/358)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0356 sec  62.7 MBytes  52.4 Mbits/sec"
6,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 58486 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/365)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1189 sec  12.7 MBytes  10.6 Mbits/sec"
7,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 58704 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/316)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1169 sec  12.7 MBytes  10.6 Mbits/sec"
8,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 50784 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/375)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1168 sec  12.7 MBytes  10.6 Mbits/sec"
9,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 49808 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/316)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1178 sec  12.7 MBytes  10.6 Mbits/sec"
10,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 53428 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/397)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0341 sec  62.7 MBytes  52.4 Mbits/sec"
11,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 42716 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/325)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1174 sec  12.7 MBytes  10.6 Mbits/sec"
12,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 37564 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/310)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1186 sec  12.7 MBytes  10.6 Mbits/sec"
13,0,Ocioso
14,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 49802 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/323)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1199 sec  12.7 MBytes  10.6 Mbits/sec"
15,0,Ocioso
16,0,Ocioso
17,0,Ocioso
18,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 54156 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/375)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1167 sec  12.7 MBytes  10.6 Mbits/sec"
19,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 42260 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/317)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1208 sec  12.7 MBytes  10.6 Mbits/sec"
20,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 52900 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/321)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1176 sec  12.7 MBytes  10.6 Mbits/sec"
21,0,Ocioso
22,0,Ocioso
23,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 42224 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/302)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1204 sec  12.7 MBytes  10.6 Mbits/sec"
24,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 85.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 50338 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/302)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0296 sec  62.7 MBytes  52.4 Mbits/sec"
25,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 48350 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/320)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0343 sec  62.7 MBytes  52.4 Mbits/sec"
26,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 51538 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/314)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1190 sec  12.7 MBytes  10.6 Mbits/sec"
27,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 41288 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/333)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1182 sec  12.7 MBytes  10.6 Mbits/sec"
28,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 50024 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/361)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0382 sec  62.7 MBytes  52.4 Mbits/sec"
29,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 42656 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/322)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0371 sec  62.7 MBytes  52.4 Mbits/sec"
30,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 58312 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/278)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1185 sec  12.7 MBytes  10.6 Mbits/sec"
31,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 34076 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/275)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1197 sec  12.7 MBytes  10.6 Mbits/sec"
32,0,Ocioso
33,0,Ocioso
34,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 48288 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/353)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1203 sec  12.7 MBytes  10.6 Mbits/sec"
35,0,Ocioso
36,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 40266 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/363)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1184 sec  12.7 MBytes  10.6 Mbits/sec"
37,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 57660 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/425)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0271 sec  62.7 MBytes  52.5 Mbits/sec"
38,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 48260 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/337)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1206 sec  12.7 MBytes  10.6 Mbits/sec"
39,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001

TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 46592 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/360)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1191 sec  12.7 MBytes  10.6 Mbits/sec"
40,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 55478 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/317)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1200 sec  12.7 MBytes  10.6 Mbits/sec"
41,0,Ocioso
42,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 46782 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/311)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1177 sec  12.7 MBytes  10.6 Mbits/sec"
43,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 35232 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/353)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1198 sec  12.7 MBytes  10.6 Mbits/sec"
44,0,Ocioso
45,0,Ocioso
46,0,Ocioso
47,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 47010 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/370)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1181 sec  12.7 MBytes  10.6 Mbits/sec"
48,2,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 55374 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/320)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.0356 sec  62.7 MBytes  52.4 Mbits/sec"
49,0,Ocioso
50,0,Ocioso
51,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 51294 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/305)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1188 sec  12.7 MBytes  10.6 Mbits/sec"
52,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 40320 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/357)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1186 sec  12.7 MBytes  10.6 Mbits/sec"
53,0,Ocioso
54,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 34712 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/312)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1150 sec  12.7 MBytes  10.6 Mbits/sec"
55,0,Ocioso
56,0,Ocioso
57,0,Ocioso
58,0,Ocioso
59,0,Ocioso
60,0,Ocioso
61,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 54134 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/315)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1204 sec  12.7 MBytes  10.6 Mbits/sec"
62,0,Ocioso
63,1,"------------------------------------------------------------
Client connecting to 191.36.15.1, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 191.36.15.21 port 50012 connected with 191.36.15.1 port 5001 (icwnd/mss/irtt=14/1448/315)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-10.1192 sec  12.7 MBytes  10.6 Mbits/sec"
